categoria,pregunta,respuesta_modelo,gold_dato,gold_fuente,correcto
numerica,¿Cuál es el mínimo de créditos que debo inscribir por período lectivo ordinario en Ingeniería?,El mínimo de créditos que debe inscribirse por período lectivo ordinario en Ingeniería es **60 créditos**. Este requisito está establecido en el **Art. 8** de la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.,8 créditos (igual o superior a 8),"Art. 8, RI-FI",no
numerica,¿Con menos de cuántos créditos aprobados al término del segundo semestre quedo en baja académica?,"Art. 12. Queda en baja académica el estudiante que, al término del segundo semestre, no haya aprobado más de 12 créditos.",menos de 15 créditos,"Art. 14 a), RI-FI",no
numerica,¿Bajo qué promedio de créditos aprobados por semestre (desde el 4º) se cae en baja académica?,La información solicitada no está contemplada en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.,inferior a 10 créditos semestrales,"Art. 14 b), RI-FI",no
numerica,¿Cuál es la asistencia mínima máxima que un profesor puede exigir en clases teóricas y prácticas?,"La asistencia no está especificada en términos numéricos en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción. Por lo tanto, no existe un límite definido por el artículo correspondiente.",80%,"Art. 13, RI-FI",no
numerica,¿Qué calificación mínima se exige para convalidar una asignatura?,La calificación mínima exigida para convalidar una asignatura es **3.0** (Art. 8).,"4,5","Art. 21, RI-FI",no
numerica,"¿Durante cuántas semanas iniciales se puede solicitar convalidación, revalidación o reconocimiento?",Art. 12.,las 4 primeras semanas,"Art. 22, RI-FI",no
numerica,¿Dentro de cuántos días se puede solicitar el reconocimiento de asignaturas?,"La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece un plazo específico para la solicitud de reconocimiento de asignaturas. Por lo tanto, esta información no está en la normativa.",los primeros 30 días,"Art. 23, RI-FI",no
numerica,"Si suspendí más de 3 años y solo me faltaba la Memoria, ¿cuántos créditos adicionales máximo debo cursar?","La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece específicamente la cantidad de créditos adicionales que debe cursar un estudiante que ha sido suspendido más de 3 años y solo le falta la Memoria. Por lo tanto, **no está en la normativa**.",un máximo de 36 créditos,"Art. 31, RI-FI",no
numerica,¿Cuántas semanas dura cada período lectivo ordinario (semestre)?,El período lectivo ordinario dura **18 semanas** (Art. 8).,19 semanas,"Art. 16, RG",no
numerica,¿Cuál es el plazo (en días hábiles) para regularizar una evaluación no rendida por causa justificada?,"El plazo para regularizar una evaluación no rendida por causa justificada es de **15 días hábiles**, según el **Art. 12** de la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.",3 días hábiles,"Art. 26, RG",no
condicional,"Si vengo de otra universidad y quiero ingresar a Ingeniería, ¿qué promedio necesito? ¿Y para cambio dentro de Ingeniería?","La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece específicamente los promedios necesarios para ingreso o cambio dentro de la carrera, ya que estos requisitos suelen definirse por el Consejo Universitario o las normas generales de la Universidad. Por lo tanto, **no está en la normativa**.","4,5 desde otra universidad/facultad; 4,2 para cambio dentro de Ingeniería","Art. 17 y Art. 18, RI-FI",no
condicional,¿Qué promedio mínimo se exige para cursar una segunda carrera de forma simultánea?,"La normativa de la Facultad de Ingeniería de la Universidad de Concepción no establece un promedio mínimo específico para cursar una segunda carrera de forma simultánea. Por lo tanto, esta información no está en la normativa.","5,0","Art. 19, RI-FI",no
condicional,¿En qué caso NO se puede revalidar una asignatura?,"No se puede revalidar una asignatura en el caso en que no haya sido aprobada o no haya sido cursada con éxito, según el **Art. 12** de la normativa de pregrado.",si fue previamente cursada y reprobada,"Art. 20, RI-FI",no
condicional,"Si repruebo por segunda vez una misma asignatura obligatoria, ¿qué ocurre?","Si repruebas por segunda vez una misma asignatura obligatoria, se considera que has incumplido el régimen académico y podrías ser inhabilitado para continuar en el programa de estudios, según el **Art. 12** de la normativa de pregrado.","baja académica, salvo que la haya aprobado en el PLEV o esté en primer año","Art. 14 c), RI-FI",no
condicional,"Al modificar la inscripción, ¿qué asignaturas NO puedo eliminar?",No está en la normativa.,las atrasadas y las obligatorias reprobadas (prioridades a y b del Art. 7),"Art. 9, RI-FI",no
condicional,"Si suspendí mis estudios, ¿qué debo hacer para volver?","Si suspendiste tus estudios, debes presentar una solicitud de reingreso al Colegio de Estudios Superiores, según el Art. 12 de la Normativa de Pregrado. Esta solicitud debe incluir justificación y documentación relacionada con la suspensión.",solicitar la reincorporación a la Vicedecanatura,"Art. 27, RI-FI",no
condicional,¿Qué documentos requiere la solicitud de suspensión de estudios?,"La solicitud de suspensión de estudios requiere la presentación de los siguientes documentos, según el **Art. 12** de la normativa:  
- Formulario de solicitud de suspensión de estudios.  
- Justificación escrita de la situación que motiva la suspensión.  
- Copia del acta de inscripción.  
- Copia del certificado de matrícula.  
- Copia del certificado de notas (si aplica).",certificado de la DAFE (sin deudas) y de la Dirección de Bibliotecas,"Art. 25, RI-FI",no
condicional,"Si estando habilitado no inscribo asignaturas en el período, ¿qué pasa?","Si estando habilitado no inscribo asignaturas en el período, se considera que no se ha cumplido con el requisito de inscripción, y por lo tanto, no se podrá acceder a las evaluaciones o créditos correspondientes a dichas asignaturas. Art. 12.",pierdo el derecho a continuar y la calidad de alumno (Baja por no Inscripción),"Art. 29, RG",no
condicional,"Si no me presento a una evaluación por causa justificada, ¿qué puedo hacer?","Si no te presentas a una evaluación por causa justificada, debes comunicarte con el profesor o el área académica responsable para solicitar la extensión o el permiso correspondiente. Art. 12.",solicitar regularizar en un máximo de 3 días hábiles,"Art. 26, RG",no
condicional,"¿Cuánta asistencia puede exigir un profesor en un laboratorio, taller o salida a terreno?","La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece un límite específico de asistencia que puede exigir un profesor en un laboratorio, taller o salida a terreno. Por lo tanto, **no está en la normativa**.",hasta un 100%,"Art. 13, RI-FI",no
cruce,"Si el Reglamento Interno de Ingeniería contradice al Reglamento General de Docencia, ¿cuál prevalece?","Según el Art. 10 del Reglamento Interno de Ingeniería, los reglamentos internos de las facultades y escuelas son de aplicación general y tienen preferencia sobre los reglamentos generales de la Universidad, siempre que no contradigan normas universitarias básicas. Por lo tanto, el Reglamento Interno de Ingeniería prevalece sobre el Reglamento General de Docencia cuando exista contradicción.",prevalece el Reglamento General (y las Normas de Ingreso),"Art. 34, RI-FI",no
cruce,Quiero modificar las asignaturas inscritas este segundo semestre 2026. ¿Hasta qué fecha?,"La fecha límite para modificar las asignaturas inscritas en el segundo semestre 2026 está establecida en el **Art. 12** de la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción. Según dicho artículo, la fecha límite es el **15 de enero**.",hasta el 04 de septiembre de 2026,"CAL 2º sem 2026 (Art. 9, RI-FI)",no
cruce,¿Hasta qué fecha se pueden modificar asignaturas en el primer semestre 2026?,"La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece específicamente la fecha límite para modificar asignaturas en el primer semestre 2026. Por lo tanto, **no está en la normativa**.",hasta el 02 de abril de 2026,"CAL 1er sem 2026 (Art. 9, RI-FI)",no
cruce,¿Tengo derecho a suspender estudios y hasta cuándo puedo hacerlo?,"La suspensión de estudios no está explícitamente regulada en el Reglamento General de la Facultad de Ingeniería de la Universidad de Concepción. Por lo tanto, no está en la normativa.","sí; dentro de los plazos del calendario, a más tardar 4 semanas antes del término",Art. 25 RI-FI + Art. 31 RG,no
cruce,¿Cuándo inician las clases del segundo semestre 2026?,"La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no especifica la fecha exacta en que inician las clases del segundo semestre 2026. Por lo tanto, **no está en la normativa**.",10 de agosto de 2026,CAL 2º sem 2026,no
cruce,¿En qué fechas se inscriben las asignaturas del segundo semestre 2026 y cuál es el mínimo de créditos?,La información sobre fechas de inscripción y créditos mínimos no está especificada en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.,inscripción 03–07 de agosto de 2026; mínimo 8 créditos,"CAL 2º sem 2026 + Art. 8, RI-FI",no
cruce,¿Cuándo termina el segundo semestre 2026 (término de clases)?,"La fecha exacta del término de clases del segundo semestre 2026 no está especificada en la normativa proporcionada. Para obtener la información precisa, se debe consultar el calendario académico oficial de la Facultad de Ingeniería de la Universidad de Concepción.",11 de diciembre de 2026,CAL 2º sem 2026,no
cruce,"La escala de notas del Reglamento General, ¿se aplica en Ingeniería, y cuál es la nota de aprobación?",La escala de notas del Reglamento General **no se aplica en la Facultad de Ingeniería** de la Universidad de Concepción. La nota de aprobación en la Facultad de Ingeniería es **4.0** (Art. 10 del Reglamento General).,"sí, escala 1 a 7 (Art. 23, RG); se aprueba con 4,0 (Art. 11, RI-FI)",Art. 23 RG + Art. 11 RI-FI,no
cruce,¿Cuándo son las Evaluaciones de Recuperación del segundo semestre 2026?,La información sobre las fechas de las Evaluaciones de Recuperación del segundo semestre 2026 no está disponible en la normativa actual de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.,14–23 de diciembre de 2026,CAL 2º sem 2026 (Art. 12 RI-FI),no
cruce,¿Qué reglamento rige la Memoria de Título y cuánto pondera en la nota de titulación?,"La Memoria de Título está regida por el **Reglamento de Pregrado de la Facultad de Ingeniería**, específicamente por el **Art. 12**, que establece que la Memoria de Título es un componente obligatorio del trabajo de título.  

En cuanto a su ponderación en la nota de titulación, según el **Art. 13**, la Memoria de Título representa **un 20%** de la calificación final del trabajo de título.",la rige el Reglamento de Memoria de Título de la FI (Art. 29); pondera un 40% (Art. 30),"Art. 29 y Art. 30, RI-FI",no
abstencion,¿Qué establece el Artículo 90 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,"El Artículo 90 del Reglamento Interno de Docencia de Pregrado de Ingeniería establece que **el docente tiene la obligación de participar en la evaluación de los estudiantes**, incluyendo la elaboración de instrumentos de evaluación y la calificación de las actividades académicas.","El artículo no existe: el RI-FI tiene solo 35 artículos -> debe indicarlo, no inventar",dato inexistente (RI-FI llega al Art. 35),no
abstencion,¿Qué requisitos fija el Artículo 36 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,El Artículo 36 del Reglamento Interno de Docencia de Pregrado de Ingeniería fija que el estudiante debe presentar una **acta de inscripción** y una **acta de matrícula** para participar en actividades docentes.,El artículo no existe: el reglamento termina en el Art. 35 -> debe indicarlo,dato inexistente (RI-FI llega al Art. 35),no
abstencion,¿Qué dispone el Artículo 100 del Reglamento General de Docencia de Pregrado?,"El Artículo 100 del Reglamento General de Docencia de Pregrado establece que **el profesor titular, en el caso de no haber sido designado como tutor, debe asumir la tutoría del estudiante**.",El artículo no existe: el RG llega hasta el Art. 60 -> debe indicarlo,dato inexistente (RG llega al Art. 60),no
abstencion,¿Qué señala el Artículo 70 del Reglamento General de Docencia de Pregrado?,"El Artículo 70 del Reglamento General de Docencia de Pregrado señala que **el docente tiene derecho a la remuneración por el trabajo docente, que se determinará en función de la carga horaria, el nivel de enseñanza y la calidad del trabajo docente**.",El artículo no existe: el RG llega hasta el Art. 60 -> debe indicarlo,dato inexistente (RG llega al Art. 60),no
abstencion,¿Qué dice el inciso d) del Artículo 14 del RI-FI sobre las causales de baja académica?,"El inciso d) del Artículo 14 del RI-FI establece que una de las causales de baja académica es **la falta de asistencia a las clases o actividades académicas, sin justificar, por un período de 30 (treinta) días consecutivos**.","No existe el inciso d): el Art. 14 solo tiene a), b) y c) -> debe indicarlo",premisa falsa (Art. 14 solo a-c),no
abstencion,¿Qué establece el inciso c) del Artículo 25 del RI-FI sobre los documentos para suspender estudios?,El inciso c) del Artículo 25 del RI-FI establece que **se considera como documento para suspender estudios el certificado de nacimiento o de registro civil de la persona**.,No existe el inciso c): el Art. 25 solo tiene a) y b) -> debe indicarlo,premisa falsa (Art. 25 solo a-b),no
abstencion,"Además del mínimo de créditos, ¿cuál es el número máximo de créditos que fija el Artículo 8 del RI-FI para inscribir por semestre?",Art. 8 del RI-FI: 60 créditos.,"El Art. 8 no fija un máximo, solo un mínimo (8) -> debe indicarlo",premisa falsa (Art. 8 solo fija mínimo),no
abstencion,¿Cuál es la nota mínima que fija el Artículo 12 del RI-FI para la Evaluación de Recuperación?,"El Artículo 12 del RI-FI fija como nota mínima para la Evaluación de Recuperación la calificación **1,0**.",El Art. 12 no fija una nota mínima; solo otorga el derecho a la recuperación -> debe indicarlo,premisa falsa (Art. 12 no fija nota),no
abstencion,"Según el calendario de docencia 2026, ¿qué feriado nacional cae el 30 de septiembre?",El 30 de septiembre de 2026 no cae en un feriado nacional según el calendario oficial de feriados nacionales de Chile. Este día es un lunes y no corresponde a ningún feriado nacional establecido por la ley. Art. 13 del Reglamento de Feriados Nacionales.,No hay feriado el 30 de septiembre; el feriado de septiembre 2026 es el día 18 -> debe indicarlo,dato inexistente (CAL 2026),si
abstencion,"El Artículo 19 del RI-FI exige promedio 5,0 para una segunda carrera simultánea; ¿qué promedio exige ese artículo para una tercera carrera simultánea?",No está en la normativa.,El Art. 19 no contempla una tercera carrera simultánea -> debe indicarlo,premisa falsa (Art. 19 no lo contempla),si
