categoria,pregunta,respuesta_modelo,gold_dato,gold_fuente
numerica,"¿Durante cuántas semanas iniciales se puede solicitar convalidación, revalidación o reconocimiento?","La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece un plazo específico en semanas iniciales para solicitar convalidación, revalidación o reconocimiento. Por lo tanto, **no está en la normativa**.",las 4 primeras semanas,"Art. 22, RI-FI"
numerica,¿Dentro de cuántos días se puede solicitar el reconocimiento de asignaturas?,"El reconocimiento de asignaturas se debe solicitar dentro de los **10 días hábiles** posteriores a la publicación del calendario académico. 

Art. 12.",los primeros 30 días,"Art. 23, RI-FI"
numerica,"Si suspendí más de 3 años y solo me faltaba la Memoria, ¿cuántos créditos adicionales máximo debo cursar?","Según la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción, si un estudiante suspendió más de 3 años y solo le faltaba la Memoria, el máximo de créditos adicionales que debe cursar es **18 créditos**.

Art. 12.",un máximo de 36 créditos,"Art. 31, RI-FI"
numerica,¿Cuántas semanas dura cada período lectivo ordinario (semestre)?,"Cada período lectivo ordinario (semestre) dura 16 semanas, según el Art. 10 de la normativa de pregrado.",19 semanas,"Art. 16, RG"
numerica,¿Cuál es el plazo (en días hábiles) para regularizar una evaluación no rendida por causa justificada?,"El plazo para regularizar una evaluación no rendida por causa justificada es de **5 días hábiles** a partir del día siguiente al de la evaluación, según el **Art. 12** de la Normativa de Pregrado.",3 días hábiles,"Art. 26, RG"
condicional,"Si vengo de otra universidad y quiero ingresar a Ingeniería, ¿qué promedio necesito? ¿Y para cambio dentro de Ingeniería?","Para ingresar a la Facultad de Ingeniería desde otra universidad, se requiere un promedio de **4.0** en la escala de 7.0, según el **Art. 10** de la Normativa de Pregrado.

Para un cambio dentro de la Facultad de Ingeniería, se requiere un promedio de **4.0** en la escala de 7.0, según el **Art. 12** de la Normativa de Pregrado.","4,5 desde otra universidad/facultad; 4,2 para cambio dentro de Ingeniería","Art. 17 y Art. 18, RI-FI"
condicional,¿Qué promedio mínimo se exige para cursar una segunda carrera de forma simultánea?,"El promedio mínimo exigido para cursar una segunda carrera de forma simultánea es de 3,0 en la escala de 7,0, según el **Art. 10** de la Normativa de Pregrado de la Facultad de Ingeniería de la Universidad de Concepción.","5,0","Art. 19, RI-FI"
condicional,¿En qué caso NO se puede revalidar una asignatura?,"No se puede revalidar una asignatura cuando **no se ha aprobado en la primera oportunidad**. 

Art. 10.",si fue previamente cursada y reprobada,"Art. 20, RI-FI"
condicional,"Si repruebo por segunda vez una misma asignatura obligatoria, ¿qué ocurre?","Si repruebas por segunda vez una misma asignatura obligatoria, se considera que has incumplido con el plan de estudios y se te inhabilita para continuar en la carrera, según el **Art. 12** de la Normativa de Pregrado de la Facultad de Ingeniería de la Universidad de Concepción.","baja académica, salvo que la haya aprobado en el PLEV o esté en primer año","Art. 14 c), RI-FI"
condicional,"Al modificar la inscripción, ¿qué asignaturas NO puedo eliminar?","No puedes eliminar asignaturas que son **obligatorias para el plan de estudios** o que forman parte de **cursos básicos comunes**. 

Esto se establece en: **Art. 12** de la Normativa de Pregrado de la Facultad de Ingeniería.",las atrasadas y las obligatorias reprobadas (prioridades a y b del Art. 7),"Art. 9, RI-FI"
condicional,"Si suspendí mis estudios, ¿qué debo hacer para volver?","Para volver a estudiar tras haber suspendido, debes contactar a la Dirección de Estudiantes de la Facultad de Ingeniería y solicitar la reactivación de tu matrícula, lo cual debe ser autorizado por el Consejo Académico. 

Art. 14 de la Normativa de Pregrado.",solicitar la reincorporación a la Vicedecanatura,"Art. 27, RI-FI"
condicional,¿Qué documentos requiere la solicitud de suspensión de estudios?,"La solicitud de suspensión de estudios requiere el formulario de solicitud correspondiente, que debe ser entregado en la secretaría de la carrera, según el **Art. 12** de la Normativa de Pregrado.",certificado de la DAFE (sin deudas) y de la Dirección de Bibliotecas,"Art. 25, RI-FI"
condicional,"Si estando habilitado no inscribo asignaturas en el período, ¿qué pasa?","Si estás habilitado y no inscribes asignaturas en el período, **se considera que has renunciado a la habilitación**. Esto se establece en **Art. 10** de la normativa de pregrado.",pierdo el derecho a continuar y la calidad de alumno (Baja por no Inscripción),"Art. 29, RG"
condicional,"Si no me presento a una evaluación por causa justificada, ¿qué puedo hacer?","Si no te presentas a una evaluación por causa justificada, debes comunicarte con el docente o la coordinación del curso lo antes posible, adjuntando la justificación correspondiente. Esto se establece en **Art. 12** de la Normativa de Pregrado.",solicitar regularizar en un máximo de 3 días hábiles,"Art. 26, RG"
condicional,"¿Cuánta asistencia puede exigir un profesor en un laboratorio, taller o salida a terreno?","La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece un porcentaje específico de asistencia que puede exigir un profesor en un laboratorio, taller o salida a terreno. Por lo tanto, **no está en la normativa**.",hasta un 100%,"Art. 13, RI-FI"
cruce,"Si el Reglamento Interno de Ingeniería contradice al Reglamento General de Docencia, ¿cuál prevalece?",El Reglamento General de Docencia prevalece sobre el Reglamento Interno de Ingeniería. Art. 10.,prevalece el Reglamento General (y las Normas de Ingreso),"Art. 34, RI-FI"
cruce,Quiero modificar las asignaturas inscritas este segundo semestre 2026. ¿Hasta qué fecha?,"La fecha límite para realizar modificaciones en las asignaturas inscritas corresponde al **15 de marzo del año en curso**. 

Art. 12.",hasta el 04 de septiembre de 2026,"CAL 2º sem 2026 (Art. 9, RI-FI)"
cruce,¿Hasta qué fecha se pueden modificar asignaturas en el primer semestre 2026?,"La normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción no establece una fecha específica para la modificación de asignaturas en el primer semestre 2026. Por lo tanto, no se puede dar una respuesta basada en el artículo correspondiente.",hasta el 02 de abril de 2026,"CAL 1er sem 2026 (Art. 9, RI-FI)"
cruce,¿Tengo derecho a suspender estudios y hasta cuándo puedo hacerlo?,"Según la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción, **no se establece un derecho explícito a suspender estudios**. 

Sin embargo, **la Ley de Educación Superior (Art. 109)** permite a los estudiantes suspender estudios por motivos justificados, como enfermedad grave o situación de fuerza mayor, siempre que se notifique al Departamento Académico con al menos 10 días de antelación.

Por lo tanto, **la suspensión de estudios es posible**, pero **no tiene un plazo definido** en la normativa de pregrado, y debe ser solicitada con anticipación y justificada.","sí; dentro de los plazos del calendario, a más tardar 4 semanas antes del término",Art. 25 RI-FI + Art. 31 RG
cruce,¿Cuándo inician las clases del segundo semestre 2026?,La fecha de inicio de clases del segundo semestre 2026 no está especificada en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.,10 de agosto de 2026,CAL 2º sem 2026
cruce,¿En qué fechas se inscriben las asignaturas del segundo semestre 2026 y cuál es el mínimo de créditos?,"La inscripción a asignaturas del segundo semestre 2026 se realiza entre el **15 de febrero y el 28 de febrero de 2026**, según el **Art. 12** de la Normativa de Pregrado. El **mínimo de créditos** para la inscripción es de **12 créditos**, establecido en el **Art. 14**.",inscripción 03–07 de agosto de 2026; mínimo 8 créditos,"CAL 2º sem 2026 + Art. 8, RI-FI"
cruce,¿Cuándo termina el segundo semestre 2026 (término de clases)?,"El término de clases del segundo semestre 2026 corresponde al **31 de julio de 2026**, según el calendario académico establecido en la **Resolución de Directora de la Facultad de Ingeniería N° 12/2025**, que establece las fechas de inicio y término de cada semestre.",11 de diciembre de 2026,CAL 2º sem 2026
cruce,"La escala de notas del Reglamento General, ¿se aplica en Ingeniería, y cuál es la nota de aprobación?","Sí, la escala de notas del Reglamento General se aplica en Ingeniería. La nota de aprobación es **4,0**.  

Art. 10 del Reglamento General de la Facultad de Ingeniería.","sí, escala 1 a 7 (Art. 23, RG); se aprueba con 4,0 (Art. 11, RI-FI)",Art. 23 RG + Art. 11 RI-FI
cruce,¿Cuándo son las Evaluaciones de Recuperación del segundo semestre 2026?,No está especificada la fecha exacta de las Evaluaciones de Recuperación del segundo semestre 2026 en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción.,14–23 de diciembre de 2026,CAL 2º sem 2026 (Art. 12 RI-FI)
cruce,¿Qué reglamento rige la Memoria de Título y cuánto pondera en la nota de titulación?,"El reglamento que rige la Memoria de Título es el **Reglamento de la Memoria de Título**, publicado en el **Diario Oficial de la Universidad de Concepción**. 

La Memoria de Título **pondera el 30%** de la nota final de titulación, según el **Art. 10** del Reglamento de la Memoria de Título.",la rige el Reglamento de Memoria de Título de la FI (Art. 29); pondera un 40% (Art. 30),"Art. 29 y Art. 30, RI-FI"
abstencion,¿Qué establece el Artículo 90 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,"El Artículo 90 del Reglamento Interno de Docencia de Pregrado de Ingeniería establece que **""El docente responsable de la materia será el encargado de la evaluación de los estudiantes, en forma individual y continua, durante el desarrollo del curso""**.

Art. 90.","El artículo no existe: el RI-FI tiene solo 35 artículos -> debe indicarlo, no inventar",dato inexistente (RI-FI llega al Art. 35)
abstencion,¿Qué requisitos fija el Artículo 36 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,"El Artículo 36 del Reglamento Interno de Docencia de Pregrado de Ingeniería establece que **los docentes deben poseer título profesional o título académico equivalente al mínimo de nivel de formación requerido para el cargo**. 

Art. 36.",El artículo no existe: el reglamento termina en el Art. 35 -> debe indicarlo,dato inexistente (RI-FI llega al Art. 35)
abstencion,¿Qué dispone el Artículo 100 del Reglamento General de Docencia de Pregrado?,"El Artículo 100 del Reglamento General de Docencia de Pregrado establece que **""El docente debe cumplir con las normas de conducta ética y profesional vigentes, respetando los derechos y libertades de los estudiantes""**. 

Art. 100.",El artículo no existe: el RG llega hasta el Art. 60 -> debe indicarlo,dato inexistente (RG llega al Art. 60)
abstencion,¿Qué señala el Artículo 70 del Reglamento General de Docencia de Pregrado?,"El Artículo 70 del Reglamento General de Docencia de Pregrado establece que **""El docente debe cumplir con las normas de conducta ética y profesional vigentes, respetando los derechos y libertades de los estudiantes""**. 

Art. 70.",El artículo no existe: el RG llega hasta el Art. 60 -> debe indicarlo,dato inexistente (RG llega al Art. 60)
abstencion,¿Qué dice el inciso d) del Artículo 14 del RI-FI sobre las causales de baja académica?,"El inciso d) del Artículo 14 del RI-FI establece que **""la falta de asistencia a clases o laboratorios, sin justificación, en un porcentaje superior al 25% del total de la carga horaria del curso""** es una causal de baja académica. 

Art. 14, inciso d).","No existe el inciso d): el Art. 14 solo tiene a), b) y c) -> debe indicarlo",premisa falsa (Art. 14 solo a-c)
abstencion,¿Qué establece el inciso c) del Artículo 25 del RI-FI sobre los documentos para suspender estudios?,"El inciso c) del Artículo 25 del RI-FI establece que **""se entregará un certificado médico que acredite la imposibilidad de asistir a las clases por motivos de salud""**. 

Art. 25, inciso c).",No existe el inciso c): el Art. 25 solo tiene a) y b) -> debe indicarlo,premisa falsa (Art. 25 solo a-b)
abstencion,"Además del mínimo de créditos, ¿cuál es el número máximo de créditos que fija el Artículo 8 del RI-FI para inscribir por semestre?",El número máximo de créditos que fija el Artículo 8 del RI-FI para inscribir por semestre es 24 créditos.,"El Art. 8 no fija un máximo, solo un mínimo (8) -> debe indicarlo",premisa falsa (Art. 8 solo fija mínimo)
abstencion,¿Cuál es la nota mínima que fija el Artículo 12 del RI-FI para la Evaluación de Recuperación?,"La nota mínima fija por el Artículo 12 del RI-FI para la Evaluación de Recuperación es **4,0**. 

Art. 12.",El Art. 12 no fija una nota mínima; solo otorga el derecho a la recuperación -> debe indicarlo,premisa falsa (Art. 12 no fija nota)
abstencion,"Según el calendario de docencia 2026, ¿qué feriado nacional cae el 30 de septiembre?","El 30 de septiembre de 2026 cae el Feriado Nacional por el Día de la Independencia de Chile, según el calendario de docencia 2026. Art. 12 del Reglamento de Calendario Académico.",No hay feriado el 30 de septiembre; el feriado de septiembre 2026 es el día 18 -> debe indicarlo,dato inexistente (CAL 2026)
abstencion,"El Artículo 19 del RI-FI exige promedio 5,0 para una segunda carrera simultánea; ¿qué promedio exige ese artículo para una tercera carrera simultánea?",No está en la normativa.,El Art. 19 no contempla una tercera carrera simultánea -> debe indicarlo,premisa falsa (Art. 19 no lo contempla)
