id,categoria,pregunta,gold_dato,gold_fuente,prediccion_baseline
11,numerica,¿Cuál es el mínimo de créditos que debo inscribir por período lectivo ordinario en Ingeniería?,8 créditos (igual o superior a 8),"Art. 8, RI-FI",No está especificado en la normativa que consulté el mínimo de créditos que debe inscribirse por período lectivo ordinario en Ingeniería en la Universidad de Concepción.
12,numerica,¿Con menos de cuántos créditos aprobados al término del segundo semestre quedo en baja académica?,menos de 15 créditos,"Art. 14 a), RI-FI",No está especificado en la normativa que con cuántos créditos aprobados en el segundo semestre quedas en baja académica.
13,numerica,¿Bajo qué promedio de créditos aprobados por semestre (desde el 4º) se cae en baja académica?,inferior a 10 créditos semestrales,"Art. 14 b), RI-FI",No está establecido en la normativa citado artículo.
14,numerica,¿Cuál es la asistencia mínima máxima que un profesor puede exigir en clases teóricas y prácticas?,80%,"Art. 13, RI-FI",No está especificado en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción el número exacto de asistencias mínimas y máximas que un profesor puede exigir en clases teóricas y prácticas.
15,numerica,¿Qué calificación mínima se exige para convalidar una asignatura?,"4,5","Art. 21, RI-FI",No está establecido en la normativa citado artículo.
16,numerica,"¿Durante cuántas semanas iniciales se puede solicitar convalidación, revalidación o reconocimiento?",las 4 primeras semanas,"Art. 22, RI-FI",No está especificado en la normativa mencionada qué duración tienen estas solicitudes iniciales.
17,numerica,¿Dentro de cuántos días se puede solicitar el reconocimiento de asignaturas?,los primeros 30 días,"Art. 23, RI-FI",No está especificado en la normativa mencionada qué días se deben contar para solicitar el reconocimiento de asignaturas.
18,numerica,"Si suspendí más de 3 años y solo me faltaba la Memoria, ¿cuántos créditos adicionales máximo debo cursar?",un máximo de 36 créditos,"Art. 31, RI-FI",No está especificado en el Reglamento de la Facultad de Ingeniería de la Universidad de Concepción cuántos créditos adicionales se deben cursar si se suspende más de 3 años y solo faltan los créditos de memoria. Te recomiendo consultar directamente con la secretaría académica para obtener la información exacta y actualizada.
19,numerica,¿Cuántas semanas dura cada período lectivo ordinario (semestre)?,19 semanas,"Art. 16, RG",No está especificado en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción cuántas semanas dura cada período lectivo ordinario (semestre).
20,numerica,¿Cuál es el plazo (en días hábiles) para regularizar una evaluación no rendida por causa justificada?,3 días hábiles,"Art. 26, RG",No está establecido en la normativa citada.
21,condicional,"Si vengo de otra universidad y quiero ingresar a Ingeniería, ¿qué promedio necesito? ¿Y para cambio dentro de Ingeniería?","4,5 desde otra universidad/facultad; 4,2 para cambio dentro de Ingeniería","Art. 17 y Art. 18, RI-FI","Para ingresar a la Ingeniería de la Universidad de Concepción desde otra universidad, generalmente se requiere un promedio superior a 7.0 o 7.5, dependiendo de la carrera anterior y la convocatoria. Para un cambio dentro de la misma carrera de Ingeniería, se suele requerir un promedio superior a 8.0. Sin embargo, es importante consultar directamente la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción, ya que estos requisitos pueden variar según la convocatoria y otras condiciones específicas. 

Art. [No especificado en la normativa consultada]"
22,condicional,¿Qué promedio mínimo se exige para cursar una segunda carrera de forma simultánea?,"5,0","Art. 19, RI-FI",No está establecido en la normativa citado artículo.
23,condicional,¿En qué caso NO se puede revalidar una asignatura?,si fue previamente cursada y reprobada,"Art. 20, RI-FI",Art. 12 del Reglamento de Pregrado establece que no se puede revalidar una asignatura si la misma ha sido suspendida o reprochada en dos o más oportunidades.
24,condicional,"Si repruebo por segunda vez una misma asignatura obligatoria, ¿qué ocurre?","baja académica, salvo que la haya aprobado en el PLEV o esté en primer año","Art. 14 c), RI-FI","Si repruebas por segunda vez una misma asignatura obligatoria, la normativa no menciona directamente qué ocurre en este caso. No hay un artículo específico que aborde este escenario con precisión."
25,condicional,"Al modificar la inscripción, ¿qué asignaturas NO puedo eliminar?",las atrasadas y las obligatorias reprobadas (prioridades a y b del Art. 7),"Art. 9, RI-FI",No hay un artículo específico en la normativa de pregrado de la Universidad de Concepción que regule qué asignaturas no puedo eliminar al modificar la inscripción.
26,condicional,"Si suspendí mis estudios, ¿qué debo hacer para volver?",solicitar la reincorporación a la Vicedecanatura,"Art. 27, RI-FI","Para volver a los estudios después de una suspensión, deberás contactarte directamente con la Facultad de Ingeniería de la Universidad de Concepción para obtener orientación específica. Generalmente, tendrás que cumplir con los requisitos de readmisión, que pueden incluir rendir exámenes de recuperación, presentar un plan de estudio o realizar otras actividades. Consulta con la secretaría académica para conocer los detalles exactos y el procedimiento a seguir. No hay un artículo específico en la normativa de pregrado que te guíe directamente en este proceso, pero es importante seguir las instrucciones proporcionadas por la institución."
27,condicional,¿Qué documentos requiere la solicitud de suspensión de estudios?,certificado de la DAFE (sin deudas) y de la Dirección de Bibliotecas,"Art. 25, RI-FI",No está especificado en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción qué documentos requiere la solicitud de suspensión de estudios.
28,condicional,"Si estando habilitado no inscribo asignaturas en el período, ¿qué pasa?",pierdo el derecho a continuar y la calidad de alumno (Baja por no Inscripción),"Art. 29, RG","Si estás habilitado y no inscribes asignaturas en el período, podrías no cumplir con las expectativas académicas de tu programa de pregrado. No hay un artículo específico que mencione esta situación directamente, pero generalmente, esto podría considerarse falta de responsabilidad académica. Consulta con tu director académico para obtener orientación específica sobre tus responsabilidades."
29,condicional,"Si no me presento a una evaluación por causa justificada, ¿qué puedo hacer?",solicitar regularizar en un máximo de 3 días hábiles,"Art. 26, RG","Si no puedes asistir a una evaluación por una causa justificada, deberías comunicarte con el instructor o comité responsable de la evaluación lo antes posible para informar de tu situación. Asegúrate de que tu ausencia se considere justificada según la normativa de la facultad. Si no está especificado en la normativa, generalmente se considera justificada una situación que no sea personal o de salud inmediata. Consulta con tu facultad para obtener instrucciones específicas."
30,condicional,"¿Cuánta asistencia puede exigir un profesor en un laboratorio, taller o salida a terreno?",hasta un 100%,"Art. 13, RI-FI","La asistencia mínima que un profesor puede exigir en un laboratorio, taller o salida a terreno no está especificada en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción. No se menciona un número exacto de asistencias en el reglamento."
31,cruce,"Si el Reglamento Interno de Ingeniería contradice al Reglamento General de Docencia, ¿cuál prevalece?",prevalece el Reglamento General (y las Normas de Ingreso),"Art. 34, RI-FI","En caso de conflicto entre el Reglamento Interno de Ingeniería y el Reglamento General de Docencia, prevalecería el Reglamento General de Docencia, según lo establecido en el Art. 14 del Reglamento General de Docencia."
32,cruce,Quiero modificar las asignaturas inscritas este segundo semestre 2026. ¿Hasta qué fecha?,hasta el 04 de septiembre de 2026,"CAL 2º sem 2026 (Art. 9, RI-FI)","Según la normativa de pregrado de la Universidad de Concepción, para modificar las asignaturas inscritas, generalmente se debe hacer hasta la fecha de modificación de inscripción, que generalmente es el 15 de septiembre del año del semestre. Sin embargo, es importante verificar el artículo específico que regula este proceso en la normativa de la facultad de Ingeniería de la Universidad de Concepción, ya que puede haber variaciones dependiendo de las disposiciones específicas de la institución. 

Art. [No especificado en la normativa actualmente disponible]"
33,cruce,¿Hasta qué fecha se pueden modificar asignaturas en el primer semestre 2026?,hasta el 02 de abril de 2026,"CAL 1er sem 2026 (Art. 9, RI-FI)",No está establecido en la normativa citado artículo específico que determine hasta qué fecha se pueden modificar asignaturas en el primer semestre 2026.
34,cruce,¿Tengo derecho a suspender estudios y hasta cuándo puedo hacerlo?,"sí; dentro de los plazos del calendario, a más tardar 4 semanas antes del término",Art. 25 RI-FI + Art. 31 RG,"La normativa de pregrado de la Universidad de Concepción no especifica con precisión si existe el derecho a suspender estudios ni cuánto tiempo puede durar esta suspensión. Para obtener esta información específica, te recomiendo consultar directamente el Reglamento Académico de la Facultad de Ingeniería o contactar con el Servicio Académico de la universidad. No está establecido en el artículo correspondiente."
35,cruce,¿Cuándo inician las clases del segundo semestre 2026?,10 de agosto de 2026,CAL 2º sem 2026,No está establecido en la normativa qué fecha inician las clases del segundo semestre 2026.
36,cruce,¿En qué fechas se inscriben las asignaturas del segundo semestre 2026 y cuál es el mínimo de créditos?,inscripción 03–07 de agosto de 2026; mínimo 8 créditos,"CAL 2º sem 2026 + Art. 8, RI-FI",No está especificado en la normativa mencionada qué fechas se inscriben las asignaturas para el segundo semestre 2026 ni qué es el mínimo de créditos para inscribirse.
37,cruce,¿Cuándo termina el segundo semestre 2026 (término de clases)?,11 de diciembre de 2026,CAL 2º sem 2026,No está especificado en la normativa de pregrado de la Facultad de Ingeniería de la Universidad de Concepción cuándo termina exactamente el segundo semestre 2026.
38,cruce,"La escala de notas del Reglamento General, ¿se aplica en Ingeniería, y cuál es la nota de aprobación?","sí, escala 1 a 7 (Art. 23, RG); se aprueba con 4,0 (Art. 11, RI-FI)",Art. 23 RG + Art. 11 RI-FI,"El Reglamento General de la Universidad de Concepción no especifica directamente una escala de notas para la ingeniería. Sin embargo, el artículo 84 del Reglamento Académico de la Universidad de Concepción establece que la nota de aprobación para los semestres es de 6.0."
39,cruce,¿Cuándo son las Evaluaciones de Recuperación del segundo semestre 2026?,14–23 de diciembre de 2026,CAL 2º sem 2026 (Art. 12 RI-FI),No está establecido en la normativa qué fechas serán las Evaluaciones de Recuperación para el segundo semestre 2026.
40,cruce,¿Qué reglamento rige la Memoria de Título y cuánto pondera en la nota de titulación?,la rige el Reglamento de Memoria de Título de la FI (Art. 29); pondera un 40% (Art. 30),"Art. 29 y Art. 30, RI-FI","La Memoria de Título está regida por el Reglamento de la Titulación, que no especifica con exactitud cuánto pondera en la nota de titulación. No se encuentra una referencia directa a este punto en el texto específico del Reglamento de la Titulación de la Universidad de Concepción."
41,abstencion,¿Qué establece el Artículo 90 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,"El artículo no existe: el RI-FI tiene solo 35 artículos -> debe indicarlo, no inventar",dato inexistente (RI-FI llega al Art. 35),No está establecido el Artículo 90 en el Reglamento Interno de Docencia de Pregrado de Ingeniería de la Universidad de Concepción.
42,abstencion,¿Qué requisitos fija el Artículo 36 del Reglamento Interno de Docencia de Pregrado de Ingeniería?,El artículo no existe: el reglamento termina en el Art. 35 -> debe indicarlo,dato inexistente (RI-FI llega al Art. 35),No está especificado en el Artículo 36 del Reglamento Interno de Docencia de Pregrado de Ingeniería los requisitos que fija.
43,abstencion,¿Qué dispone el Artículo 100 del Reglamento General de Docencia de Pregrado?,El artículo no existe: el RG llega hasta el Art. 60 -> debe indicarlo,dato inexistente (RG llega al Art. 60),No está establecido en el Artículo 100 del Reglamento General de Docencia de Pregrado la información solicitada.
44,abstencion,¿Qué señala el Artículo 70 del Reglamento General de Docencia de Pregrado?,El artículo no existe: el RG llega hasta el Art. 60 -> debe indicarlo,dato inexistente (RG llega al Art. 60),No está especificado en el Artículo 70 del Reglamento General de Docencia de Pregrado la información solicitada.
45,abstencion,¿Qué dice el inciso d) del Artículo 14 del RI-FI sobre las causales de baja académica?,"No existe el inciso d): el Art. 14 solo tiene a), b) y c) -> debe indicarlo",premisa falsa (Art. 14 solo a-c),No está especificado en el Artículo 14 del Reglamento Interno de la Facultad de Ingeniería (RI-FI) el inciso d) sobre causales de baja académica.
46,abstencion,¿Qué establece el inciso c) del Artículo 25 del RI-FI sobre los documentos para suspender estudios?,No existe el inciso c): el Art. 25 solo tiene a) y b) -> debe indicarlo,premisa falsa (Art. 25 solo a-b),No está establecido en el Artículo 25 del RI-FI (Reglamento Interno de la Facultad de Ingeniería) el inciso c) sobre documentos para suspender estudios.
47,abstencion,"Además del mínimo de créditos, ¿cuál es el número máximo de créditos que fija el Artículo 8 del RI-FI para inscribir por semestre?","El Art. 8 no fija un máximo, solo un mínimo (8) -> debe indicarlo",premisa falsa (Art. 8 solo fija mínimo),No está establecido en el Artículo 8 del Reglamento Interno de la Facultad de Ingeniería (RI-FI) el número máximo de créditos para inscribir por semestre.
48,abstencion,¿Cuál es la nota mínima que fija el Artículo 12 del RI-FI para la Evaluación de Recuperación?,El Art. 12 no fija una nota mínima; solo otorga el derecho a la recuperación -> debe indicarlo,premisa falsa (Art. 12 no fija nota),No está establecido en el Artículo 12 del RI-FI (Reglamento Interno de la Facultad de Ingeniería) la nota mínima para la Evaluación de Recuperación.
49,abstencion,"Según el calendario de docencia 2026, ¿qué feriado nacional cae el 30 de septiembre?",No hay feriado el 30 de septiembre; el feriado de septiembre 2026 es el día 18 -> debe indicarlo,dato inexistente (CAL 2026),No está especificado en el calendario de docencia 2026 qué feriado nacional cae el 30 de septiembre.
50,abstencion,"El Artículo 19 del RI-FI exige promedio 5,0 para una segunda carrera simultánea; ¿qué promedio exige ese artículo para una tercera carrera simultánea?",El Art. 19 no contempla una tercera carrera simultánea -> debe indicarlo,premisa falsa (Art. 19 no lo contempla),El artículo 19 del Reglamento Interno de la Facultad de Ingeniería (RI-FI) no establece un promedio específico para una tercera carrera simultánea.
